# Region      : cellZone ignition
# Cells       : 1
# Volume      : 2.655875e-09
# Time        	volAverage(T)	volAverage(CH4)
0.00365       	2.394182e+03	1.600689e-05
0.00366       	2.392427e+03	1.574588e-05
0.00367       	2.390733e+03	1.568041e-05
0.00368       	2.389163e+03	1.584060e-05
0.00369       	2.387624e+03	1.628167e-05
0.0037        	2.386085e+03	1.687642e-05
0.00371       	2.384555e+03	1.726164e-05
0.00372       	2.383046e+03	1.735254e-05
0.00373       	2.381545e+03	1.726444e-05
0.00374       	2.380043e+03	1.714045e-05
0.00375       	2.378533e+03	1.708087e-05
0.00376       	2.377054e+03	1.697125e-05
0.00377       	2.375582e+03	1.689494e-05
0.00378       	2.374117e+03	1.684146e-05
0.00379       	2.372661e+03	1.678500e-05
0.0038        	2.371215e+03	1.670747e-05
0.00381       	2.369778e+03	1.662148e-05
0.00382       	2.368344e+03	1.655253e-05
0.00383       	2.366921e+03	1.646888e-05
0.00384       	2.365509e+03	1.638759e-05
0.00385       	2.364099e+03	1.633850e-05
0.00386       	2.362698e+03	1.629240e-05
0.00387       	2.361309e+03	1.621971e-05
0.00388       	2.359952e+03	1.603655e-05
0.00389       	2.358635e+03	1.569759e-05
0.0039        	2.357354e+03	1.525129e-05
0.00391       	2.356096e+03	1.472657e-05
0.00392       	2.354834e+03	1.405962e-05
0.00393       	2.353484e+03	1.373387e-05
0.00394       	2.352137e+03	1.376166e-05
0.00395       	2.350750e+03	1.419917e-05
0.00396       	2.349384e+03	1.467132e-05
0.00397       	2.348084e+03	1.483511e-05
0.00398       	2.346820e+03	1.473765e-05
0.00399       	2.345576e+03	1.451994e-05
0.004         	2.344381e+03	1.412853e-05
0.00401       	2.343315e+03	1.325939e-05
0.00402       	2.342310e+03	1.205156e-05
0.00403       	2.341190e+03	1.150833e-05
0.00404       	2.340014e+03	1.158037e-05
0.00405       	2.338950e+03	1.144951e-05
0.00406       	2.337986e+03	1.069493e-05
0.00407       	2.336898e+03	1.009913e-05
0.00408       	2.335718e+03	1.028699e-05
0.00409       	2.334511e+03	1.121062e-05
0.0041        	2.333392e+03	1.217999e-05
0.00411       	2.332359e+03	1.274998e-05
0.00412       	2.331412e+03	1.298737e-05
0.00413       	2.330571e+03	1.269045e-05
0.00414       	2.329898e+03	1.198913e-05
0.00415       	2.329380e+03	1.085675e-05
0.00416       	2.328674e+03	1.061132e-05
0.00417       	2.327934e+03	1.063796e-05
0.00418       	2.327148e+03	1.107943e-05
0.00419       	2.326346e+03	1.148231e-05
0.0042        	2.325527e+03	1.181744e-05
0.00421       	2.324692e+03	1.191179e-05
0.00422       	2.323840e+03	1.203134e-05
0.00423       	2.322962e+03	1.211299e-05
0.00424       	2.322076e+03	1.234737e-05
0.00425       	2.321214e+03	1.238864e-05
0.00426       	2.320582e+03	1.255028e-05
0.00427       	2.319847e+03	1.264147e-05
0.00428       	2.319062e+03	1.265856e-05
0.00429       	2.318234e+03	1.270224e-05
0.0043        	2.317367e+03	1.278183e-05
0.00431       	2.316504e+03	1.273349e-05
0.00432       	2.315673e+03	1.260260e-05
0.00433       	2.314834e+03	1.261195e-05
0.00434       	2.313979e+03	1.268954e-05
0.00435       	2.313137e+03	1.268549e-05
0.00436       	2.312281e+03	1.298503e-05
0.00437       	2.311425e+03	1.304160e-05
0.00438       	2.310578e+03	1.322781e-05
